,Level,Kills,Deaths,Assists,CS,CS in Team's Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Result Score
Zeus,18,4,3,2,288,2,7.6,14179,374,21.7,64,26,16,12,12,1.69,0.69,0.32,0.42,20.1,15757,9350,6287,120,416,23.9,0.16,54.5,1,0,0,0,0,-100,-5,-359,0,0,1672,1672,5725,0,26601,0,15,125,26039,76,13,31,0
Oner,15,2,1,5,192,147,5.1,12347,326,18.9,62,12,15,10,10,1.64,0.32,0.26,0.4,19.5,11590,9826,879,885,306,17.6,0.18,63.6,0,0,0,0,0,-202,-2,-280,0,0,606,606,16724,0,29472,0,15,124,32120,0,11,26,0
Faker,17,2,2,4,264,0,7,12580,332,19.3,56,28,14,7,7,1.48,0.74,0.18,0.37,17.6,13265,1389,8390,3486,350,20.1,0.16,54.5,0,0,0,0,0,804,15,685,1,0,1234,1234,3287,0,10906,0,20,69,14675,43,9,26,0
Gumayusi,17,3,5,2,395,48,10.4,17362,458,26.6,36,16,12,6,6,0.95,0.42,0.16,0.32,11.3,20946,19562,1027,357,553,31.7,0.13,45.5,0,0,0,0,0,-1002,-31,-1512,-2,0,3223,3223,3415,0,11135,0,12,115,21667,102,11,36,0
Keria,13,0,5,9,44,0,1.2,8804,232,13.5,100,78,14,24,23,2.64,2.06,0.63,0.37,31.4,4449,911,2626,912,117,6.7,0.24,81.8,0,0,0,0,0,257,19,172,0,0,792,792,9299,5042,22103,4426,14,46,19781,115,26,41,0
Zeus,17,5,2,6,229,16,7.1,13283,412,20.1,37,21,5,8,8,1.15,0.65,0.25,0.16,11.5,14460,8523,5425,512,449,18.8,0.34,55.0,0,0,0,0,0,890,23,952,1,0,3679,3679,4380,0,29709,0,16,236,19198,65,10,28,1
Oner,17,5,1,7,224,173,7,13969,434,21.2,122,43,30,10,10,3.79,1.33,0.31,0.93,38.0,17758,15202,677,1879,551,23.1,0.37,60.0,0,0,0,0,0,-216,2,691,1,1,1087,1087,14269,0,26383,0,15,331,23565,16,11,29,1
Faker,17,3,2,6,241,0,7.5,12829,398,19.4,25,10,4,7,6,0.78,0.31,0.22,0.12,7.8,12300,10456,501,1343,382,16.0,0.28,45.0,0,0,0,0,0,535,0,251,0,0,5278,5278,2498,0,32077,103,22,471,16735,90,8,26,1
Gumayusi,17,6,1,7,327,32,10.2,16475,511,25.0,37,11,8,3,3,1.15,0.34,0.09,0.25,11.5,26776,24710,1471,595,831,34.9,0.4,65.0,0,1,0,0,0,-962,-16,-542,0,0,8466,8466,2918,0,10843,0,17,70,9529,10,5,30,1
Keria,13,1,2,12,40,0,1.2,9434,293,14.3,100,56,14,17,17,3.1,1.74,0.53,0.43,31.2,5533,1129,3018,1386,172,7.2,0.4,65.0,0,0,0,0,0,804,24,772,1,0,1165,1165,5754,2912,22064,4736,23,75,14222,67,19,34,1
Zeus,14,0,4,2,225,9,8.1,9698,348,21.9,30,12,1,6,4,1.08,0.43,0.22,0.04,16.9,10345,1964,8381,0,372,21.9,0.07,50.0,0,0,0,0,0,1457,39,-363,0,0,1965,1965,2600,0,10466,0,17,50,15743,108,7,21,0
Oner,12,2,2,2,138,108,5,9053,325,20.4,38,8,9,6,6,1.37,0.29,0.22,0.32,21.3,6328,627,5559,142,227,13.4,0.14,100.0,0,0,0,0,0,925,-8,-909,-1,0,357,357,10996,957,25674,0,39,537,20245,82,7,20,0
Faker,14,0,2,2,242,8,8.7,9671,347,21.8,23,13,3,6,5,0.83,0.47,0.22,0.11,12.9,15828,13663,2165,0,569,33.5,0.07,50.0,0,0,0,0,0,-273,-15,-1601,-1,0,2556,2556,1024,0,9448,0,4,90,12747,62,7,25,0
Gumayusi,13,1,3,1,244,8,8.8,10222,367,23.1,26,12,5,6,5,0.93,0.43,0.22,0.18,14.6,12417,11900,517,0,446,26.3,0.07,50.0,0,0,0,0,0,-1377,-27,5,0,0,2055,2055,1273,0,9333,0,7,165,8942,59,9,25,0
Keria,10,1,3,1,31,0,1.1,5700,205,12.9,61,35,9,13,11,2.19,1.26,0.47,0.32,34.3,2382,380,1770,232,86,5.0,0.07,50.0,0,0,0,0,0,-392,13,-558,-1,0,0,0,8,0,14462,0,21,159,10460,68,16,28,0
Zeus,18,4,3,5,326,4,7.5,17007,390,21.7,47,13,8,10,8,1.08,0.3,0.23,0.18,11.2,22738,1844,20763,131,522,25.1,0.21,64.3,0,0,0,0,0,486,2,-343,0,0,2928,2928,21909,0,39434,0,46,474,39088,147,14,35,0
Oner,17,3,6,7,233,204,5.3,14671,337,18.7,100,18,23,15,15,2.29,0.41,0.34,0.53,23.8,9737,8480,876,381,223,10.8,0.23,71.4,0,0,0,0,0,-1292,-4,-308,0,2,326,326,23052,0,49586,0,15,178,46010,171,17,36,0
Faker,18,1,6,5,324,4,7.4,15717,361,20.0,65,19,17,16,15,1.49,0.44,0.37,0.39,15.4,19478,674,18587,217,447,21.5,0.14,42.9,0,0,0,0,0,-92,5,-185,0,0,3955,3955,6543,234,21863,0,49,323,24322,158,17,36,0
Gumayusi,18,3,4,6,477,74,10.9,20341,467,25.9,65,14,30,5,5,1.49,0.32,0.11,0.69,15.4,32831,31504,1085,242,753,36.2,0.21,64.3,0,0,0,0,0,-1570,5,-392,0,0,5288,5288,6357,0,21032,0,18,131,18477,146,7,29,0
Keria,14,3,4,8,53,0,1.2,10689,245,13.6,144,86,19,30,27,3.3,1.97,0.69,0.44,34.2,5792,741,3675,1376,133,6.4,0.25,78.6,2,1,0,0,0,-588,17,-3,0,0,1323,1323,11570,3287,31481,5378,21,55,22519,82,33,49,0
Zeus,18,4,3,2,289,12,8.2,15201,433,24.7,62,8,13,6,3,1.77,0.23,0.17,0.37,20.3,31058,2253,21999,6806,885,32.6,0.17,66.7,0,1,0,0,0,373,-12,67,0,0,9354,9354,10304,0,30920,0,7,94,31960,92,7,30,0
Oner,15,0,5,7,185,159,5.3,11666,333,18.9,75,10,12,8,8,2.14,0.29,0.23,0.34,24.6,18888,631,15050,3207,538,19.8,0.2,77.8,0,0,0,0,0,535,-11,-47,0,0,497,497,19841,1367,37355,0,34,627,39587,159,10,24,0
Faker,15,1,5,6,197,0,5.6,10338,295,16.8,33,15,7,12,11,0.94,0.43,0.34,0.2,10.8,13737,3139,10598,0,392,14.4,0.2,77.8,0,0,0,0,0,-844,-17,89,0,0,97,97,3040,0,52187,0,59,551,25531,141,13,30,0
Gumayusi,16,4,2,3,393,59,11.2,16753,478,27.2,49,15,15,6,6,1.4,0.43,0.17,0.43,16.1,26890,25509,1381,0,766,28.2,0.2,77.8,0,0,1,0,0,129,11,-194,0,0,3053,3053,6548,0,18086,0,2,218,12435,30,8,28,0
Keria,13,0,1,8,9,0,0.3,7613,217,12.4,86,65,7,18,18,2.45,1.85,0.51,0.2,28.2,4754,726,4028,0,136,5.0,0.23,88.9,0,0,0,0,0,-86,-22,45,0,0,417,417,1185,193,6311,3767,23,272,8277,0,20,36,0
Zeus,15,0,4,5,181,0,5.7,9202,288,17.8,37,12,5,8,7,1.16,0.38,0.25,0.16,13.2,7775,1951,5824,0,244,18.7,0.16,71.4,0,0,0,0,0,-169,-16,-185,0,0,1067,1067,2332,0,36946,0,20,516,19978,106,10,22,0
Oner,14,2,5,2,203,139,6.4,10539,330,20.4,74,7,22,5,5,2.32,0.22,0.16,0.69,26.4,8751,6486,1384,881,274,21.0,0.13,57.1,0,0,0,0,0,-680,6,-234,0,0,115,115,9031,1439,17999,0,3,152,21752,129,6,24,0
Faker,15,0,2,4,198,0,6.2,9086,285,17.6,40,10,9,8,7,1.25,0.31,0.25,0.28,14.3,8268,1297,6971,0,259,19.8,0.13,57.1,0,0,0,0,0,-632,5,622,0,0,328,328,2444,0,37365,0,47,658,19256,52,8,21,0
Gumayusi,15,5,3,1,369,24,11.6,16241,509,31.4,45,14,16,6,6,1.41,0.44,0.19,0.5,16.1,11081,10000,143,938,347,26.6,0.19,85.7,0,1,0,0,0,728,-21,-1461,-1,0,6468,6468,3598,0,8091,0,8,50,12045,49,7,28,0
Keria,12,0,2,6,33,0,1,6695,210,12.9,84,61,7,20,18,2.63,1.91,0.63,0.22,30.0,5807,424,4671,712,182,13.9,0.19,85.7,0,0,0,0,0,124,-3,194,0,0,0,0,3001,215,12855,2434,12,108,13784,28,22,37,0
Zeus,14,2,1,7,207,12,8.9,8930,385,20.2,22,10,2,3,3,0.95,0.43,0.13,0.09,10.4,14795,1294,10167,3334,639,28.1,0.39,75.0,0,0,0,0,0,148,3,-493,0,0,4742,4742,7053,0,12870,0,6,65,18141,30,4,14,1
Oner,12,1,2,10,157,130,6.8,8387,362,18.9,101,33,23,3,2,4.36,1.42,0.13,0.99,47.6,7711,6807,469,435,333,14.6,0.47,91.7,0,0,0,0,0,-142,4,-46,0,1,1386,1386,11991,0,11039,0,6,227,20197,69,4,14,1
Faker,13,2,3,9,182,0,7.9,9072,392,20.5,16,5,4,2,2,0.69,0.22,0.09,0.17,7.5,10998,9783,749,466,475,20.9,0.47,91.7,0,0,0,0,0,-648,1,23,0,0,4354,4354,3539,0,22116,387,34,424,17959,62,3,18,1
Gumayusi,13,7,1,2,252,13,10.9,12282,530,27.7,21,11,5,5,4,0.91,0.47,0.22,0.22,9.9,14903,13284,229,1390,643,28.3,0.39,75.0,0,1,1,0,0,155,14,-87,0,0,5376,5376,3192,0,4459,0,11,93,8773,14,9,28,1
Keria,10,0,3,9,30,0,1.3,5597,242,12.6,52,35,6,10,10,2.24,1.51,0.43,0.26,24.5,4327,626,2983,718,187,8.2,0.39,75.0,0,0,0,0,0,10,14,558,0,0,237,237,1268,0,12830,0,33,188,10607,43,12,23,1
Zeus,14,1,1,4,208,0,8.5,8723,358,19.7,25,9,2,4,4,1.03,0.37,0.16,0.08,14.0,12266,3794,8472,0,503,25.9,0.21,55.6,0,0,0,0,0,433,6,470,1,0,1669,1669,1498,0,16757,0,25,336,15479,38,6,23,1
Oner,12,1,3,7,136,128,5.6,9219,378,20.8,35,4,6,5,4,1.44,0.16,0.21,0.25,19.7,11542,489,9641,1412,473,24.4,0.33,88.9,0,0,0,0,0,481,-11,-108,0,0,1023,1023,13406,436,16328,0,33,466,22581,41,6,16,1
Faker,14,3,2,1,208,0,8.5,9754,400,22.0,34,9,10,4,4,1.39,0.37,0.16,0.41,19.1,7811,6374,706,731,320,16.5,0.16,44.4,1,0,0,0,0,721,2,-174,-1,0,4954,4954,1789,0,7464,0,0,26,10517,48,6,27,1
Gumayusi,13,4,2,2,247,15,10.1,10780,442,24.4,26,9,8,4,3,1.07,0.37,0.16,0.33,14.6,12689,11486,0,1203,520,26.8,0.25,66.7,0,0,0,1,0,-1046,-18,-374,0,0,6161,6161,1386,0,4455,0,6,58,8151,14,7,22,1
Keria,10,0,1,6,35,0,1.4,5782,237,13.1,58,37,11,10,10,2.38,1.52,0.41,0.45,32.6,2991,370,1991,630,123,6.3,0.25,66.7,0,0,0,0,0,-226,29,169,0,0,1004,1004,2870,1878,7484,1562,10,26,4698,14,12,22,1
Zeus,14,0,2,3,208,0,7.2,8543,296,19.0,34,10,3,6,5,1.18,0.35,0.21,0.1,15.0,8732,6622,1611,499,302,21.0,0.1,100.0,0,0,0,0,0,345,18,682,1,0,884,884,3440,0,29042,387,28,418,23494,46,7,19,0
Oner,13,1,3,2,190,161,6.6,9933,344,22.1,62,8,15,8,7,2.15,0.28,0.28,0.52,27.4,11085,6088,3615,1382,384,26.6,0.1,100.0,0,0,0,0,0,322,-3,-373,0,0,1352,1352,10535,780,17114,0,6,175,19641,40,9,25,0
Faker,13,0,6,2,189,0,6.5,8023,278,17.9,33,8,7,6,5,1.14,0.28,0.21,0.24,14.6,5127,349,4778,0,178,12.3,0.07,66.7,0,0,0,0,0,-1134,-11,-546,-1,0,0,0,990,0,33399,0,26,520,23458,185,6,25,0
Gumayusi,13,1,3,2,285,19,9.9,11738,406,26.2,33,10,9,4,3,1.14,0.35,0.14,0.31,14.6,12470,11201,901,368,432,30.0,0.1,100.0,0,0,0,0,0,-351,-4,-735,-1,0,2583,2583,3198,0,9034,0,11,135,10154,80,6,22,0
Keria,10,1,3,2,29,0,1,6631,230,14.8,64,45,6,16,14,2.22,1.56,0.55,0.21,28.3,4220,142,3130,948,146,10.1,0.1,100.0,0,0,0,0,0,319,-1,-997,-1,0,303,303,1209,0,8108,821,36,138,14789,56,18,31,0
Zeus,15,1,0,3,213,0,8.2,9213,353,20.1,24,12,1,6,6,0.92,0.46,0.23,0.04,12.6,9116,727,8389,0,349,26.1,0.15,57.1,0,0,0,0,0,-151,4,907,0,0,946,946,6241,0,6451,0,28,347,9707,0,8,22,1
Oner,14,5,1,2,186,171,7.1,10138,389,22.1,32,5,6,3,3,1.23,0.19,0.12,0.23,16.8,10592,305,9076,1211,406,30.3,0.27,100.0,0,1,0,0,0,-168,1,105,0,0,1553,1553,11193,0,15898,0,8,368,17254,21,4,17,1
Faker,14,1,1,1,217,0,8.3,9070,348,19.8,23,7,7,3,3,0.88,0.27,0.12,0.27,12.0,5471,4723,289,459,210,15.6,0.08,28.6,0,0,0,0,0,-197,-5,-548,0,0,5163,5163,1438,0,20799,0,11,452,15766,35,4,18,1
Gumayusi,14,0,0,4,280,8,10.7,10749,412,23.5,26,13,7,3,3,1,0.5,0.12,0.27,13.6,6844,6382,0,462,262,19.6,0.15,57.1,0,0,0,0,0,342,20,824,1,0,4572,4572,2089,0,3334,0,5,36,6508,0,4,23,1
Keria,11,0,1,5,46,0,1.8,6625,254,14.5,86,50,16,13,13,3.3,1.92,0.5,0.61,45.0,2957,639,1728,590,113,8.5,0.19,71.4,0,0,0,0,0,434,12,61,0,0,974,974,1700,861,6414,1507,6,20,4738,21,15,26,1
Zeus,15,2,4,3,194,0,6.5,9143,305,19.1,28,11,2,6,5,0.93,0.37,0.2,0.07,11.2,16094,4864,11230,0,536,25.5,0.17,71.4,1,0,0,0,0,300,3,302,0,0,0,0,4981,1891,35480,0,38,426,28357,111,8,30,0
Oner,13,1,6,4,166,130,5.5,9269,309,19.3,65,25,15,7,7,2.17,0.83,0.23,0.5,25.9,7648,6024,968,656,255,12.1,0.17,71.4,0,0,0,0,0,-96,3,243,0,0,0,0,9882,0,28278,0,104,517,26618,156,8,23,0
Faker,14,1,4,3,214,0,7.1,9904,330,20.7,43,26,7,9,8,1.43,0.87,0.3,0.23,17.1,14938,1526,10332,3080,498,23.7,0.13,57.1,0,0,0,0,0,-1078,-24,-1275,-1,0,961,961,2771,0,11813,0,23,72,16708,82,9,26,0
Gumayusi,14,3,3,1,316,18,10.5,13071,436,27.3,41,15,14,6,6,1.37,0.5,0.2,0.47,16.3,19585,17721,1864,0,653,31.1,0.13,57.1,0,0,0,0,0,-467,-6,-169,0,0,3149,3149,1380,0,12461,0,6,61,8717,54,7,27,0
Keria,12,0,3,4,13,0,0.4,6535,218,13.6,74,55,6,17,16,2.47,1.83,0.57,0.2,29.5,4777,847,3930,0,159,7.6,0.13,57.1,0,0,0,0,0,195,-25,39,0,0,725,725,1230,494,5387,3699,22,277,9627,51,20,32,0
Zeus,15,1,3,8,177,2,5.8,9943,324,17.6,31,17,2,12,11,1.01,0.55,0.39,0.07,11.2,12220,7200,5017,3,398,17.0,0.29,56.3,0,0,0,0,0,-488,-6,476,0,0,1160,1160,2794,0,42417,0,44,575,25127,110,14,33,0
Oner,14,1,4,7,205,156,6.7,10654,347,18.8,121,40,26,9,8,3.94,1.3,0.29,0.85,43.8,7962,6802,474,686,259,11.1,0.26,50.0,0,0,0,0,0,1075,22,862,1,0,0,0,11855,0,15967,0,8,206,25664,154,10,27,0
Faker,15,4,4,6,196,0,6.4,11572,377,20.5,25,12,7,2,2,0.81,0.39,0.07,0.23,9.1,21897,1399,19563,935,713,30.5,0.33,62.5,1,0,0,0,0,37,-14,-153,0,0,3252,3252,573,0,12213,1022,33,268,14028,134,4,19,0
Gumayusi,15,10,3,1,288,32,9.4,16354,533,28.9,32,15,9,6,6,1.04,0.49,0.2,0.29,11.6,25882,23721,1911,250,843,36.1,0.36,68.8,0,1,0,1,0,1612,15,488,0,0,16323,16323,2809,0,18248,0,10,191,11231,144,8,27,0
Keria,12,0,3,11,8,0,0.3,8010,261,14.2,67,51,7,17,15,2.18,1.66,0.55,0.23,24.3,3757,533,3224,0,122,5.2,0.36,68.8,0,0,0,0,0,267,-22,-113,0,0,2449,2449,1338,141,6616,4317,21,258,9779,77,19,35,0
Zeus,15,1,1,11,164,0,6.3,9310,358,18.0,35,12,6,7,7,1.34,0.46,0.27,0.23,16.7,12506,7524,4981,1,480,21.8,0.46,66.7,0,0,0,0,0,138,32,655,0,0,4349,4349,1909,0,30437,0,28,459,15105,32,8,23,1
Oner,14,3,1,13,175,147,6.7,11004,423,21.2,63,20,13,5,5,2.42,0.77,0.19,0.5,30.1,11382,9702,1164,516,437,19.8,0.61,88.9,0,0,0,0,0,-738,9,-44,0,0,2306,2306,13016,0,22929,0,106,446,21976,30,6,21,1
Faker,15,3,3,13,190,0,7.3,10561,406,20.4,27,11,8,3,3,1.04,0.42,0.12,0.31,12.9,15300,496,14720,84,588,26.7,0.61,88.9,1,0,0,0,0,484,11,589,0,0,1990,1990,350,117,8667,1509,22,233,9406,96,5,17,1
Gumayusi,14,11,1,3,257,26,9.9,14439,555,27.9,27,12,8,4,4,1.04,0.46,0.15,0.31,12.9,12125,11122,503,500,466,21.1,0.54,77.8,0,1,1,0,0,453,-1,570,0,0,15938,15938,2323,0,7042,0,7,125,5752,16,5,21,1
Keria,11,0,3,10,24,0,0.9,6495,249,12.5,57,39,3,12,12,2.19,1.5,0.46,0.12,27.3,6077,1549,3949,579,233,10.6,0.38,55.6,0,0,0,0,0,-125,-2,-217,-1,0,151,151,213,0,7534,0,32,176,9578,54,14,26,1
Zeus,17,1,1,7,228,1,6.2,12125,331,18.1,57,23,5,18,18,1.56,0.63,0.49,0.14,16.5,11198,5074,5757,367,306,14.0,0.22,66.7,0,0,0,0,0,13,-11,155,0,0,1129,1129,7833,0,54923,0,26,759,26305,11,20,39,1
Oner,15,4,2,5,195,168,5.3,12885,352,19.2,75,21,19,19,19,2.05,0.57,0.52,0.52,21.7,11328,9124,1524,680,309,14.2,0.25,75.0,0,0,0,0,0,1103,2,721,0,0,0,0,11123,0,48942,0,41,685,24050,51,21,41,1
Faker,17,2,1,5,265,0,7.2,13523,369,20.2,57,7,18,4,4,1.56,0.19,0.11,0.49,16.5,20335,1256,18062,1017,555,25.4,0.19,58.3,0,0,0,0,0,43,-21,166,0,0,3584,3584,1768,0,15640,2628,21,347,11411,0,7,20,1
Gumayusi,17,5,0,4,409,42,11.2,19506,532,29.1,64,17,24,5,5,1.75,0.46,0.14,0.66,18.6,29657,24465,1917,3275,810,37.1,0.25,75.0,0,0,0,0,0,1193,25,-257,0,0,17575,17575,3845,0,7733,0,13,159,9433,0,8,31,1
Keria,13,0,0,8,25,0,0.7,8917,243,13.3,92,74,3,24,24,2.51,2.02,0.66,0.08,26.7,7473,130,6067,1276,204,9.3,0.22,66.7,0,0,0,0,0,330,-4,754,1,0,231,231,4649,156,13943,2896,12,113,12857,0,27,45,1
Zeus,11,2,2,4,121,0,7.2,6184,367,16.7,11,5,1,1,1,0.65,0.3,0.06,0.06,11.5,5326,3647,1358,321,316,13.9,0.36,31.6,1,0,0,0,0,-85,-30,64,1,0,1721,1721,1142,0,10269,0,13,360,10073,22,2,14,1
Oner,10,2,0,11,102,81,6.1,6931,412,18.7,21,6,2,5,5,1.25,0.36,0.3,0.12,21.9,7850,1177,6285,388,466,20.5,0.77,68.4,0,0,0,0,0,237,9,448,0,0,55,55,10418,0,10845,0,36,426,16204,0,6,14,1
Faker,11,5,2,7,134,0,8,7573,450,20.4,23,12,5,4,4,1.37,0.71,0.24,0.3,24.0,9327,1692,5681,1954,554,24.4,0.71,63.2,1,1,0,0,0,152,3,581,0,0,697,697,2668,0,4754,0,12,33,10181,62,4,12,1
Gumayusi,11,10,0,3,179,4,10.6,11977,712,32.3,15,9,2,3,3,0.89,0.53,0.18,0.12,15.6,11287,9868,513,906,671,29.5,0.77,68.4,0,1,0,0,0,3657,43,3,0,0,11083,11083,2378,0,2584,0,6,21,5535,0,6,21,1
Keria,8,0,1,9,23,0,1.4,4470,266,12.0,26,13,2,6,6,1.54,0.77,0.36,0.12,27.1,4432,699,3393,340,263,11.6,0.53,47.4,0,0,0,0,0,281,17,337,0,0,532,532,2010,235,6443,400,11,77,7962,0,9,19,1
Zeus,14,2,1,8,162,0,6.6,9182,377,18.3,44,16,3,8,7,1.8,0.66,0.33,0.12,23.7,7295,1275,6020,0,299,13.4,0.41,50.0,0,0,0,0,0,-297,-9,-452,-1,0,1618,1618,2912,0,12357,2812,19,275,13229,27,10,26,1
Oner,12,5,1,11,127,107,5.2,10240,420,20.5,34,6,6,6,5,1.39,0.25,0.25,0.25,18.3,11404,761,10209,434,468,20.9,0.66,80.0,0,0,0,0,0,888,3,52,0,0,752,752,16292,785,21385,0,60,544,23504,6,7,23,1
Faker,14,4,3,6,161,3,6.6,9237,379,18.4,28,7,5,3,3,1.15,0.29,0.12,0.21,15.1,10275,9216,509,550,421,18.8,0.41,50.0,2,1,0,0,0,450,-8,162,1,0,4462,4462,1249,0,24585,374,29,373,18236,80,4,17,1
Gumayusi,13,9,0,5,243,20,10,13435,551,26.8,26,13,6,6,6,1.07,0.53,0.25,0.25,14.0,19503,16694,2785,24,800,35.7,0.57,70.0,0,2,0,0,0,2816,24,1358,1,0,17505,17505,2693,0,10271,0,13,108,4984,0,7,19,1
Keria,12,0,0,16,12,4,0.5,7975,327,15.9,54,40,2,11,11,2.21,1.64,0.45,0.08,29.0,6146,995,5151,0,252,11.3,0.66,80.0,0,0,0,0,0,898,-27,181,0,0,3340,3340,1009,382,3464,4007,23,235,6201,0,13,26,1
